191.6667,168.2333,198.1051,141.8556,S001,S002,2.6017,2.4977,2.4129
226.5,92.1,,,S003,S009,,,
178.1667,121.7333,,,S004,S012,,,
211.9667,151.9667,,,S005,S014,,,
210.6667,127.5667,,,S006,S015,,,
210.3333,162,,,S007,S016,,,
232.3667,201.7333,,,S008,S017,,,
262.1333,174.4333,,,S009,S019,,,
146.1667,130.1,,,S016,S020,,,
185.5,111.8,,,S017,S021,,,
242.6667,151.9333,,,S022,S023,,,
142.0667,108.6667,,,S023,,,,
135.1667,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
